route,method_auth,rate_limiter,durable_shared_limiter,zod_schema,quota_checkLimit,uses_fetch,fetch_has_timeout,try_catch,verdict
"ai/agent","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/audio","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/auto","NO","memory","no","NO","no","0","no","NO","no-session; memory-only-limiter; no-schema-validation; no-error-boundary"
"ai/chat","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/code-action","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/code","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/compare","yes","durable","yes","NO","no","0","no","yes","no-schema-validation"
"ai/feedback","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"ai/file","yes","durable","yes","NO","no","0","no","yes","no-schema-validation"
"ai/generations","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"ai/image","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"ai/models","NO","NONE","no","NO","no","0","no","NO","no-session; NO-RATE-LIMIT; no-schema-validation; no-error-boundary"
"ai/search","yes","memory","no","NO","no","0","no","yes","memory-only-limiter; no-schema-validation"
"ai/transcribe","yes","durable","yes","NO","no","0","no","yes","no-schema-validation"
"ai/verify","yes","durable","yes","NO","no","0","no","yes","no-schema-validation"
"ai/vision","yes","durable","yes","NO","yes","0","no","yes","no-schema-validation"
"auth/delete","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"auth/forgot","NO","NONE","no","NO","no","0","no","yes","no-session; NO-RATE-LIMIT; no-schema-validation"
"auth/login","NO","durable","yes","yes","no","0","no","yes","no-session"
"auth/logout","NO","NONE","no","NO","no","0","no","NO","no-session; NO-RATE-LIMIT; no-schema-validation; no-error-boundary"
"auth/me","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"auth/oauth/[provider]/callback","NO","NONE","no","NO","no","5","no","yes","no-session; NO-RATE-LIMIT; no-schema-validation; fetch-without-timeout"
"auth/oauth/[provider]","NO","NONE","no","NO","no","0","no","NO","no-session; NO-RATE-LIMIT; no-schema-validation; no-error-boundary"
"auth/register","NO","durable","yes","yes","no","0","no","yes","no-session"
"auth/reset","NO","NONE","no","NO","no","0","no","yes","no-session; NO-RATE-LIMIT; no-schema-validation"
"auth/verify","NO","NONE","no","NO","no","0","no","NO","no-session; NO-RATE-LIMIT; no-schema-validation; no-error-boundary"
"checkout/order","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"checkout/verify","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"checkout/webhook","NO","NONE","no","NO","no","0","no","yes","no-session; NO-RATE-LIMIT; no-schema-validation"
"dev/keys","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"health","NO","NONE","no","NO","no","0","no","NO","no-session; NO-RATE-LIMIT; no-schema-validation; no-error-boundary"
"history","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"metrics","NO","memory","no","NO","no","0","no","NO","no-session; memory-only-limiter; no-schema-validation; no-error-boundary"
"projects/files","yes","memory","no","NO","no","0","no","yes","memory-only-limiter; no-schema-validation"
"projects","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"share","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"teams","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"user/keys","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"user/skills","yes","NONE","no","NO","no","0","no","yes","NO-RATE-LIMIT; no-schema-validation"
"v1/chat","NO","durable","yes","NO","no","0","no","yes","no-session; no-schema-validation"
