file,area,lines,bytes,exports,empty_catch,lint_issues,todo_or_hack,any_casts
"app/about/page.tsx","page","154","6342","0","0","0","0","0"
"app/acceptable-use/page.tsx","page","53","2297","0","0","2","0","0"
"app/api/ai/agent/route.ts","api-route","175","5930","4","1","1","0","0"
"app/api/ai/audio/route.ts","api-route","115","3735","3","1","1","0","0"
"app/api/ai/auto/route.ts","api-route","37","1268","3","0","0","0","0"
"app/api/ai/chat/route.ts","api-route","382","14339","3","3","1","0","0"
"app/api/ai/code-action/route.ts","api-route","195","6528","3","2","1","0","0"
"app/api/ai/code/route.ts","api-route","238","7813","3","2","2","0","0"
"app/api/ai/compare/route.ts","api-route","153","5107","3","1","1","0","0"
"app/api/ai/feedback/route.ts","api-route","58","2068","3","0","1","0","0"
"app/api/ai/file/route.ts","api-route","194","6527","5","0","1","0","0"
"app/api/ai/generations/route.ts","api-route","58","2098","3","0","0","0","0"
"app/api/ai/image/route.ts","api-route","152","4870","3","1","1","0","0"
"app/api/ai/models/route.ts","api-route","67","2219","2","0","0","0","0"
"app/api/ai/search/route.ts","api-route","47","1556","3","0","0","0","0"
"app/api/ai/transcribe/route.ts","api-route","61","1968","3","0","0","0","0"
"app/api/ai/verify/route.ts","api-route","139","5413","4","0","1","0","0"
"app/api/ai/vision/route.ts","api-route","94","2947","3","1","1","0","0"
"app/api/auth/delete/route.ts","api-route","46","1771","3","0","0","0","0"
"app/api/auth/forgot/route.ts","api-route","45","1658","3","0","0","0","0"
"app/api/auth/login/route.ts","api-route","72","2159","3","0","1","0","0"
"app/api/auth/logout/route.ts","api-route","11","296","3","0","0","0","0"
"app/api/auth/me/route.ts","api-route","62","1666","3","1","0","0","0"
"app/api/auth/oauth/[provider]/callback/route.ts","api-route","149","4925","3","0","0","0","0"
"app/api/auth/oauth/[provider]/route.ts","api-route","61","1978","3","0","0","0","0"
"app/api/auth/register/route.ts","api-route","77","2733","3","0","1","0","0"
"app/api/auth/reset/route.ts","api-route","34","1159","3","0","0","0","0"
"app/api/auth/verify/route.ts","api-route","22","864","3","0","0","0","0"
"app/api/checkout/order/route.ts","api-route","55","1427","4","1","0","0","0"
"app/api/checkout/verify/route.ts","api-route","85","2464","3","1","0","0","0"
"app/api/checkout/webhook/route.ts","api-route","150","5375","4","0","0","0","0"
"app/api/dev/keys/route.ts","api-route","60","1919","5","0","0","0","0"
"app/api/health/route.ts","api-route","67","2680","2","0","0","0","0"
"app/api/history/route.ts","api-route","108","3575","5","0","0","0","0"
"app/api/metrics/route.ts","api-route","27","985","4","0","0","0","0"
"app/api/projects/files/route.ts","api-route","123","3921","5","0","0","0","0"
"app/api/projects/route.ts","api-route","80","2444","5","0","0","0","0"
"app/api/share/route.ts","api-route","64","2210","4","0","0","0","0"
"app/api/teams/route.ts","api-route","110","3364","5","0","0","0","0"
"app/api/user/keys/route.ts","api-route","66","2273","5","0","0","0","0"
"app/api/user/skills/route.ts","api-route","52","1945","4","0","0","0","0"
"app/api/v1/chat/route.ts","api-route","118","3747","3","1","1","0","0"
"app/contact/page.tsx","page","36","1524","0","0","0","0","0"
"app/developers/page.tsx","page","200","9010","0","1","4","0","0"
"app/help/page.tsx","page","52","3935","0","0","0","0","0"
"app/how-it-works/page.tsx","page","62","3825","0","0","0","0","0"
"app/layout.tsx","page","106","3122","0","0","1","0","0"
"app/manifest.ts","page","27","810","0","0","0","0","0"
"app/page.tsx","page","3935","183958","8","9","5","0","0"
"app/pricing/page.tsx","page","193","7504","0","0","0","0","0"
"app/print/page.tsx","page","70","2437","0","1","0","0","0"
"app/privacy/page.tsx","page","154","5424","4","0","0","0","0"
"app/reset/page.tsx","page","108","4304","1","0","1","0","0"
"app/robots.ts","page","16","381","0","0","0","0","0"
"app/s/[id]/page.tsx","page","184","7357","1","0","1","0","0"
"app/security/page.tsx","page","67","3668","0","0","1","0","0"
"app/sitemap.ts","page","27","681","0","0","0","0","0"
"app/status/page.tsx","page","93","3251","0","0","0","0","0"
"app/terms/page.tsx","page","162","6467","0","0","0","0","0"
"app/verify/page.tsx","page","69","2682","1","0","0","0","0"
"components/AdSlot.tsx","component","114","3300","1","0","1","0","0"
"components/CookieConsent.tsx","component","61","1806","1","2","0","0","0"
"components/PwaRegister.tsx","component","20","603","1","0","0","0","0"
"components/SitePage.tsx","component","72","3328","2","0","0","0","0"
"components/billing/UpgradeButton.tsx","component","155","4734","2","0","0","0","0"
"components/workspace/AudioStudio.tsx","component","573","21409","1","0","0","0","0"
"components/workspace/ImageStudio.tsx","component","467","17037","1","1","0","0","0"
"lib/ai/agent.ts","lib/ai","627","22871","8","0","0","4","0"
"lib/ai/gateway.ts","lib/ai","287","9152","8","0","0","0","0"
"lib/ai/image-prompt.ts","lib/ai","72","2530","3","0","0","0","0"
"lib/ai/image-providers.ts","lib/ai","420","14642","5","0","0","0","0"
"lib/ai/limits.ts","lib/ai","98","2842","2","0","0","0","0"
"lib/ai/mind.ts","lib/ai","207","6830","7","0","0","0","0"
"lib/ai/model-tiers.ts","lib/ai","133","3012","2","0","0","0","0"
"lib/ai/models-catalog.ts","lib/ai","889","26482","7","0","0","0","0"
"lib/ai/offline-brain.ts","lib/ai","707","26233","9","0","0","0","0"
"lib/ai/provider-registry.ts","lib/ai","439","14159","14","0","0","0","0"
"lib/ai/providers.ts","lib/ai","868","27357","14","3","4","0","0"
"lib/ai/quality.ts","lib/ai","89","3461","3","0","0","0","0"
"lib/ai/router.ts","lib/ai","182","7657","2","0","0","0","0"
"lib/ai/rules.ts","lib/ai","89","4048","4","0","0","0","1"
"lib/ai/search.ts","lib/ai","228","7582","8","0","0","0","0"
"lib/ai/stt.ts","lib/ai","142","4923","2","0","0","0","0"
"lib/ai/understanding.ts","lib/ai","179","7828","3","0","0","0","0"
"lib/auth/guest.ts","lib","73","2421","5","0","0","0","0"
"lib/auth/session.ts","lib","228","6246","11","0","0","0","0"
"lib/client/api.ts","lib","753","23156","44","2","0","0","0"
"lib/config.ts","lib","98","3227","9","0","0","0","0"
"lib/crypto.ts","lib","101","3528","9","0","0","0","0"
"lib/db/remote.ts","lib","74","2158","5","0","0","0","0"
"lib/db/store.ts","lib","1372","40592","67","1","0","0","0"
"lib/metrics/metrics.ts","lib","56","2016","4","0","0","0","0"
"lib/payments/razorpay.ts","lib","131","4149","4","0","0","0","0"
"lib/rate-limit/durable.ts","lib","98","3213","3","0","0","0","0"
"lib/rate-limit/memory.ts","lib","30","849","2","0","0","0","0"
"lib/storage/media.ts","lib","127","3881","5","0","0","0","0"
"next.config.js","config","41","1368","0","0","0","0","0"
"package.json","config","37","900","0","0","0","0","0"
"postcss.config.js","config","7","83","0","0","0","0","0"
"public/sw.js","config","47","1409","0","0","0","0","0"
"supabase/schema.sql","config","154","5675","0","0","0","0","0"
"tailwind.config.js","config","58","1481","0","0","0","0","0"
"tsconfig.json","config","21","538","0","0","0","0","0"
